Date,Research Firm,Action,From,To,
22-Jul-15,Cowen,Downgrade,Outperform,Market Perform,
13-Jul-15,Societe Generale,Upgrade,Hold,Buy,
Date,Research Firm,Action,From,To,
22-Jul-15,Cowen,Downgrade,Outperform,Market Perform,
Date,Research Firm,Action,From,To,
Date,Research Firm,Action,From,To,
Date,Research Firm,Action,From,To,
Date,Research Firm,Action,From,To,
