Date,Research Firm,Action,From,To,
13-Jul-15,Pivotal Research Group,Downgrade,Buy,Hold,
8-Jan-15,Stifel,Downgrade,Buy,Hold,
Date,Research Firm,Action,From,To,
13-Jul-15,Pivotal Research Group,Downgrade,Buy,Hold,
Date,Research Firm,Action,From,To,
Date,Research Firm,Action,From,To,
Date,Research Firm,Action,From,To,
Date,Research Firm,Action,From,To,
